countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
24021,2021-07-17 00:00:00,150.0,-1.5660377358490565,2021,07,2021-07,17,2021-07-17
24031,2021-07-17 00:00:00,-64.5,-0.5274725274725275,2021,07,2021-07,17,2021-07-17
24033,2021-07-17 00:00:00,-493.0,0.26248399487836105,2021,07,2021-07,17,2021-07-17
24037,2021-07-17 00:00:00,36.0,-0.7575757575757576,2021,07,2021-07,17,2021-07-17
51013,2021-07-17 00:00:00,-520.0,0.7627118644067796,2021,07,2021-07,17,2021-07-17
51059,2021-07-17 00:00:00,-58.5,-0.7060301507537688,2021,07,2021-07,17,2021-07-17
51061,2021-07-17 00:00:00,60.5,-1.242,2021,07,2021-07,17,2021-07-17
51107,2021-07-17 00:00:00,117.5,-1.20223752151463,2021,07,2021-07,17,2021-07-17
51153,2021-07-17 00:00:00,14.5,-1.0796703296703296,2021,07,2021-07,17,2021-07-17
51187,2021-07-17 00:00:00,93.0,-0.6776429809358753,2021,07,2021-07,17,2021-07-17
51510,2021-07-17 00:00:00,-379.5,0.8245192307692308,2021,07,2021-07,17,2021-07-17
51610,2021-07-17 00:00:00,-156.0,3.4571428571428573,2021,07,2021-07,17,2021-07-17
51683,2021-07-17 00:00:00,1.0,-1.0076923076923077,2021,07,2021-07,17,2021-07-17
11001,2021-07-18 00:00:00,-167.5,-0.5268361581920904,2021,07,2021-07,18,2021-07-18
24009,2021-07-18 00:00:00,-130.0,-3.280701754385965,2021,07,2021-07,18,2021-07-18
24017,2021-07-18 00:00:00,-106.5,-0.8266883645240033,2021,07,2021-07,18,2021-07-18
24021,2021-07-18 00:00:00,427.5,-6.777027027027027,2021,07,2021-07,18,2021-07-18
24031,2021-07-18 00:00:00,265.0,-2.9413919413919416,2021,07,2021-07,18,2021-07-18
24033,2021-07-18 00:00:00,-471.5,0.25232403718459495,2021,07,2021-07,18,2021-07-18
24037,2021-07-18 00:00:00,43.0,-0.7361963190184049,2021,07,2021-07,18,2021-07-18
51013,2021-07-18 00:00:00,-480.5,0.6427350427350427,2021,07,2021-07,18,2021-07-18
51059,2021-07-18 00:00:00,-55.5,-0.721105527638191,2021,07,2021-07,18,2021-07-18
51061,2021-07-18 00:00:00,521.5,-13.270588235294118,2021,07,2021-07,18,2021-07-18
51107,2021-07-18 00:00:00,-264.5,-0.544750430292599,2021,07,2021-07,18,2021-07-18
51153,2021-07-18 00:00:00,50.0,-1.3717472118959106,2021,07,2021-07,18,2021-07-18
51187,2021-07-18 00:00:00,73.5,-0.020000000000000018,2021,07,2021-07,18,2021-07-18
51510,2021-07-18 00:00:00,-420.0,1.0338983050847457,2021,07,2021-07,18,2021-07-18
51610,2021-07-18 00:00:00,-146.0,-0.5755813953488372,2021,07,2021-07,18,2021-07-18
51683,2021-07-18 00:00:00,-139.5,-0.6081460674157304,2021,07,2021-07,18,2021-07-18
11001,2021-07-19 00:00:00,-221.0,-0.38095238095238093,2021,07,2021-07,19,2021-07-19
24009,2021-07-19 00:00:00,-134.5,-10.607142857142858,2021,07,2021-07,19,2021-07-19
24017,2021-07-19 00:00:00,-105.5,-0.8263374485596708,2021,07,2021-07,19,2021-07-19
24021,2021-07-19 00:00:00,71.0,-1.2544802867383513,2021,07,2021-07,19,2021-07-19
24031,2021-07-19 00:00:00,222.0,-2.1472868217054266,2021,07,2021-07,19,2021-07-19
24033,2021-07-19 00:00:00,-471.5,0.2074263764404609,2021,07,2021-07,19,2021-07-19
24037,2021-07-19 00:00:00,43.0,-0.75,2021,07,2021-07,19,2021-07-19
51013,2021-07-19 00:00:00,-174.5,-0.40847457627118644,2021,07,2021-07,19,2021-07-19
51059,2021-07-19 00:00:00,-126.0,-0.37157107231920194,2021,07,2021-07,19,2021-07-19
51061,2021-07-19 00:00:00,533.0,-2.490909090909091,2021,07,2021-07,19,2021-07-19
51107,2021-07-19 00:00:00,111.0,-1.7474747474747474,2021,07,2021-07,19,2021-07-19
51153,2021-07-19 00:00:00,50.0,-1.2298850574712643,2021,07,2021-07,19,2021-07-19
