countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11952,MATTITUCK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,127.11443957672606
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11953,MIDDLE ISLAND,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,91.34672374187639
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11954,MONTAUK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,177.39315833170195
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11955,MORICHES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,101.09448825785934
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11956,NEW SUFFOLK,1.0,0.0,1.0,1.0,1.0,1.0,0.0,New York City,133.27145750355493
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11957,ORIENT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,165.12653804856166
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11958,PECONIC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,134.91797160184976
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11959,QUOGUE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,119.21514279762312
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11960,REMSENBURG,1.0,0.0,1.0,1.0,1.0,1.0,0.0,New York City,110.32130946703732
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11961,RIDGE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,96.80292319962757
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11962,SAGAPONACK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,148.47370093773142
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11963,SAG HARBOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,145.52239488822082
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11964,SHELTER ISLAND,1.0,0.0,1.0,1.0,1.0,1.0,0.0,New York City,147.17167219206252
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11965,SHELTER ISLAND HEIGHTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,150.8255776459053
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11967,SHIRLEY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,95.96833803147203
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11968,SOUTHAMPTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,135.8550957951157
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11970,SOUTH JAMESPORT,1.0,0.0,1.0,1.0,1.0,1.0,0.0,New York City,123.11203173811555
