median_listing_price,active_listing_count,netinflow
1687500.0,74.0,-59.0
1579000.0,89.0,-28.0
1495000.0,114.0,-30.0
1374000.0,114.0,-172.0
1249000.0,125.0,-218.0
1085000.0,122.0,-114.0
1073500.0,117.0,-103.0
1115000.0,139.0,-10.0
1099900.0,153.0,-71.0
1244500.0,138.0,-45.0
1590000.0,106.0,-62.0
1597500.0,91.0,-29.0
1307000.0,97.0,-26.0
1383000.0,100.0,7.0
1497000.0,106.0,-47.0
1496950.0,120.0,-96.0
1550000.0,123.0,-153.0
1460000.0,119.0,-100.0
1332857.142857143,121.0,-66.0
1260357.1428571427,117.0,8.0
1220000.0,114.0,-29.0
1300000.0,108.0,-52.0
1447000.0,76.0,-12.0
1599000.0,67.0,-34.0
1599000.0,74.0,-16.0
1515000.0,91.0,-113.0
1387000.0,83.0,-164.0
1599000.0,89.0,-159.0
1587000.0,88.0,-237.0
1622500.0,93.0,-262.0
1579000.0,96.0,-116.0
1299000.0,100.0,-135.0
1195000.0,114.0,-84.0
1382500.0,109.0,-105.0
1324999.5,102.0,-112.0
1495000.0,96.0,-116.0
1461500.0,85.0,-120.0
1237000.0,78.0,-99.0
932250.0,89.0,-38.0
949900.0,90.0,-197.0
1199500.0,111.0,-178.0
1236500.0,102.0,-258.0
1095000.0,104.0,-31.0
1215000.0,125.0,11.0
1225000.0,134.0,-25.0
1147500.0,128.0,-39.0
1100000.0,98.0,-25.0
1822500.0,54.0,-22.0
2197500.0,46.0,-71.0
1495000.0,57.0,-41.0
1175000.0,74.0,7.0
1275000.0,85.0,-159.0
1189000.0,86.0,-154.0
874500.0,85.0,-89.0
744500.0,79.0,-49.0
719999.0,82.0,14.0
612000.0,91.0,-3.0
499999.0,88.0,-27.0
575000.0,64.0,-99.0
1347500.0,57.0,-56.0
1049250.0,54.0,-72.0
806142.8571428572,67.0,-21.0
974250.0,78.0,-15.0
1212499.5,90.0,-113.0
1389000.0,93.0,-109.0
1472500.0,86.0,-32.0
1593571.4285714286,82.0,-130.0
1787000.0,82.0,20.0
1945000.0,89.0,-50.0
2195000.0,91.0,0.0
2795000.0,67.0,-94.0
2547500.0,64.0,-87.0
1995000.0,66.0,-18.0
1995000.0,71.0,-136.0
2072500.0,64.0,-136.0
2195000.0,68.0,-217.0
2267500.0,71.0,-257.0
1540000.0,85.0,-258.0
1850000.0,78.0,-258.0
1687000.0,96.0,-150.0
875000.0,106.0,-203.0
812450.0,107.0,-202.0
1234000.0,98.0,-213.0
1495000.0,81.0,-201.0
727000.0,91.0,-71.0
617000.0,91.0,-107.0
599000.0,100.0,-117.0
589900.0,97.0,-43.0
625000.0,103.0,-185.0
608750.0,98.0,-46.0
582000.0,92.0,23.0
597200.0,117.0,-2.0
529900.0,115.0,-1.0
509450.0,109.0,-55.0
459500.0,82.0,-92.0
567450.0,111.0,-188.0
634500.0,105.0,-98.0
674900.0,108.0,-133.0
662400.0,124.0,-171.0
624950.0,142.0,-207.0
619900.0,164.0,-229.0
631249.5,145.0,-244.0
616950.0,133.0,-249.0
599000.0,140.0,-158.0
644500.0,168.0,-222.0
639450.0,176.0,-241.0
659900.0,144.0,-133.0
654450.0,106.0,-77.0
659450.0,101.0,-140.0
622056.5714285715,108.0,-78.0
602757.0714285714,124.0,-130.0
630000.0,142.0,-219.0
649900.0,151.0,-227.0
619950.0,138.0,-124.0
599000.0,143.0,-120.0
632000.0,148.0,-169.0
659500.0,174.0,-125.0
650000.0,170.0,-173.0
649999.0,117.0,-250.0
667000.0,105.0,-94.0
675000.0,98.0,-145.0
700000.0,98.0,-461.0
655000.0,114.0,-471.0
665000.0,123.0,-498.0
699000.0,140.0,-605.0
679900.0,168.0,-647.0
679000.0,184.0,-733.0
599250.0,232.0,-649.0
595000.0,280.0,-677.0
567450.0,278.0,-575.0
567499.5,224.0,-501.0
574900.0,182.0,-348.0
526000.0,182.0,-384.0
499000.0,193.0,-339.0
499950.0,192.0,-280.0
479000.0,193.0,-252.0
523700.0,209.0,-273.0
557202.0,210.0,-259.0
539504.0,181.0,-163.0
557000.0,214.0,-107.0
575000.0,229.0,-90.0
582000.0,210.0,-196.0
585000.0,164.0,-249.0
650000.0,44.0,-30.0
604900.0,43.0,-72.0
599000.0,46.0,-34.0
599450.0,47.0,-59.0
657050.0,55.0,-122.0
689900.0,62.0,-116.0
674950.0,58.0,-121.0
741950.0,56.0,-123.0
739000.0,73.0,-123.0
706000.0,75.0,-28.0
744450.0,87.0,-60.0
749000.0,67.0,-132.0
744000.0,67.0,-46.0
750000.0,66.0,-90.0
760142.8571428572,70.0,-93.0
760642.8571428572,72.0,-112.0
749500.0,80.0,-97.0
789900.0,87.0,-114.0
744900.0,82.0,-203.0
722285.2857142857,78.0,-69.0
702784.7857142857,79.0,-108.0
732495.0,90.0,-131.0
709900.0,99.0,-107.0
749999.5,90.0,-85.0
749999.0,80.0,-94.0
699900.0,58.0,-91.0
656999.5,58.0,-136.0
705400.0,66.0,-230.0
